ciudad,departamento,tipo,bathrooms,ambientes,habitaciones,metros,price
armenia,quindio,casa_campestre,4.0,,4.0,220.0,4900000.0
armenia,quindio,apartamento,4.0,,3.0,175.0,5000000.0
armenia,quindio,apartamento,2.0,,3.0,55.0,800000.0
armenia,quindio,apartamento,2.0,,3.0,52.0,1050000.0
armenia,quindio,apartaestudio,1.0,,1.0,54.0,1500000.0
armenia,quindio,casa_campestre,7.0,,6.0,700.0,7990000.0
armenia,quindio,casa,2.0,,3.0,62.0,970000.0
armenia,quindio,apartaestudio,1.0,,1.0,40.0,1800000.0
armenia,quindio,apartaestudio,1.0,,1.0,30.0,1500000.0
armenia,quindio,apartamento,2.0,,2.0,56.0,2290000.0
armenia,quindio,apartamento,2.0,,3.0,102.0,2442000.0
armenia,quindio,bodega,5.0,,,1290.0,20030000.0
armenia,quindio,casa,2.0,,3.0,70.0,650000.0
armenia,quindio,bodega,1.0,,1.0,187.0,7137000.0
armenia,quindio,apartaestudio,1.0,,1.0,24.0,1100000.0
armenia,quindio,apartamento,2.0,,3.0,84.0,950000.0
armenia,quindio,casa_campestre,6.0,,5.0,900.0,15000000.0
armenia,quindio,apartamento,1.0,,2.0,48.0,650000.0
armenia,quindio,apartaestudio,1.0,,1.0,40.0,1400000.0
armenia,quindio,apartaestudio,1.0,,1.0,38.0,830000.0
armenia,quindio,casa,3.0,,3.0,155.0,2000000.0
armenia,quindio,oficina,2.0,1.0,,22.0,1850000.0
armenia,quindio,local,1.0,1.0,,133.0,7122150.0
armenia,quindio,bodega,2.0,,1.0,540.0,10000000.0
armenia,quindio,apartamento,3.0,,3.0,117.0,2100000.0
armenia,quindio,apartamento,2.0,,3.0,67.0,950000.0
armenia,quindio,local,1.0,1.0,,126.0,7140000.0
armenia,quindio,casa_campestre,5.0,,3.0,250.0,6000000.0
armenia,quindio,local,1.0,1.0,,556.0,25000000.0
armenia,quindio,apartamento,2.0,,3.0,62.0,1900000.0
valledupar,cesar,apartamento,3.0,,3.0,96.0,2000000.0
valledupar,cesar,apartamento,3.0,,3.0,96.0,2300000.0
valledupar,cesar,apartamento,2.0,,2.0,56.0,1100000.0
valledupar,cesar,local,2.0,,,200.0,6500000.0
valledupar,cesar,local,,,,6.0,30000.0
valledupar,cesar,oficina,,,,137.0,4500000.0
valledupar,cesar,local,1.0,,,38.0,1000000.0
valledupar,cesar,bodega,2.0,,,2000.0,2500000.0
valledupar,cesar,casa,3.0,,4.0,200.0,2600000.0
valledupar,cesar,casa,3.0,,3.0,161.0,5500000.0
valledupar,cesar,casa,,,4.0,350.0,6000000.0
valledupar,cesar,casa,3.0,,3.0,298.0,2800000.0
valledupar,cesar,oficina,3.0,,,252.0,7000000.0
valledupar,cesar,apartamento,1.0,,2.0,47.0,700000.0
valledupar,cesar,local,1.0,,,33.0,1692000.0
valledupar,cesar,local,1.0,,,20.0,950000.0
valledupar,cesar,edificio,,,,396.0,200000.0
valledupar,cesar,local,1.0,,,30.0,850000.0
valledupar,cesar,casa,,,5.0,300.0,2850000.0
valledupar,cesar,local,,,,170.0,15164400.0
valledupar,cesar,casa,2.0,,3.0,72.0,1280000.0
valledupar,cesar,oficina,1.0,,,108.0,4124070.0
valledupar,cesar,local,1.0,,,25.0,2800000.0
valledupar,cesar,casa,3.0,,3.0,92.0,2000000.0
valledupar,cesar,local,,,,241.0,8460000.0
valledupar,cesar,apartamento,1.0,,1.0,40.0,800000.0
valledupar,cesar,casa,3.0,,3.0,278.0,1650000.0
valledupar,cesar,casa,2.0,,3.0,111.0,1400000.0
valledupar,cesar,local,2.0,,,60.0,2200000.0
valledupar,cesar,oficina,1.0,,,39.0,1200000.0
valledupar,cesar,local,1.0,,,36.0,1300000.0
valledupar,cesar,apartaestudio,1.0,,1.0,43.0,800000.0
valledupar,cesar,local,1.0,,,100.0,3100000.0
valledupar,cesar,apartamento,2.0,,3.0,60.0,1400000.0
valledupar,cesar,local,2.0,,,120.0,3000000.0
valledupar,cesar,casa,3.0,,2.0,162.0,1700000.0
valledupar,cesar,apartamento,2.0,,2.0,60.0,650000.0
valledupar,cesar,local,1.0,,,25.0,2800000.0
valledupar,cesar,casa,2.0,,4.0,540.0,4130000.0
valledupar,cesar,oficina,1.0,,,55.0,1650000.0
valledupar,cesar,casa,3.0,,3.0,160.0,1500000.0
valledupar,cesar,oficina,2.0,,,256.0,8000000.0
valledupar,cesar,local,1.0,,,88.0,1800000.0
valledupar,cesar,local,,,,33.0,850000.0
valledupar,cesar,apartamento,2.0,,2.0,60.0,600000.0
valledupar,cesar,local,1.0,,,50.0,2500000.0
valledupar,cesar,apartamento,3.0,,3.0,106.0,1500000.0
valledupar,cesar,apartamento,1.0,,2.0,46.0,750000.0
valledupar,cesar,local,,,,14.0,830000.0
valledupar,cesar,apartamento,1.0,,3.0,80.0,1000000.0
valledupar,cesar,apartamento,2.0,,2.0,60.0,600000.0
valledupar,cesar,oficina,1.0,,,418.0,9107760.0
valledupar,cesar,apartamento,,,,60.0,1650000.0
valledupar,cesar,local,1.0,,,31.0,1200000.0
valledupar,cesar,lote,,,,137.0,2000000.0
valledupar,cesar,oficina,,,,220.0,8500000.0
valledupar,cesar,casa,6.0,,8.0,800.0,25000000.0
valledupar,cesar,lote,,,,899.0,3500000.0
valledupar,cesar,apartamento,2.0,,2.0,60.0,600000.0
valledupar,cesar,local,2.0,,,280.0,20000.0
valledupar,cesar,oficina,1.0,,,45.0,1700000.0
valledupar,cesar,casa,3.0,,3.0,120.0,1200000.0
valledupar,cesar,apartamento,2.0,,2.0,80.0,900000.0
valledupar,cesar,local,,,,140.0,12487100.0
valledupar,cesar,lote,,,,3200.0,5000000.0
valledupar,cesar,local,2.0,,,425.0,3800000.0
valledupar,cesar,casa,3.0,,3.0,73.0,1350000.0
valledupar,cesar,apartamento,5.0,,3.0,485.0,25000000.0
